Pathway	New pathway name	Norm_GSM300177	Norm_GSM300181	Norm_GSM300189	Norm_GSM300192	Norm_GSM300196	Norm_GSM300204	Norm_GSM300214	Norm_GSM300222	Norm_GSM300234	Norm_GSM300238	Norm_GSM300242	Norm_GSM300248	Norm_GSM300267	Norm_GSM300285	Norm_GSM300324	Norm_GSM300328	Norm_GSM300332	Norm_GSM300338	Tumour_GSM1176196	Tumour_GSM1176197	Tumour_GSM1176198	Tumour_GSM1176199	Tumour_GSM1176200	Tumour_GSM1176201	Tumour_GSM1176202	Tumour_GSM1176203	Tumour_GSM1176204	Tumour_GSM1176205	Tumour_GSM1176206	Tumour_GSM1176207	Tumour_GSM1176208	Tumour_GSM1176209	Tumour_GSM1176210	p-value_Mean	q-value_Mean	Difference	|Difference|
ERK_Signaling_Pathway	ERK Signaling Main Pathway	-2.850314111	3.333041584	-2.666228216	-0.907311299	2.207300894	-2.325841996	-1.064589803	2.530664885	1.18771006	0.1163058	-18.20014329	13.36009142	8.974280251	-3.732636208	-1.721683607	4.154788734	0.506441501	-3.182476863	12.09400794	3.333041584	16.44163598	6.032529958	11.09869755	15.25418803	29.25842769	3.97714936	22.38373477	-1.160650848	12.49797581	14.13278084	16.74746269	1.565032897	11.94505542	0.000136536	0.002536902	11.72232688	11.72232688
AKT_Pathway	AKT Main Pathway	-0.693795416	2.306668043	2.321344901	-0.498208989	9.015868579	-2.338188237	1.193201691	5.647664323	2.243466603	1.833655751	-21.85092888	10.59740956	3.201414215	-7.644569614	-4.469035528	1.398805597	-0.24298748	-7.397985121	14.43257414	2.306668043	17.69505399	7.985444908	15.12920328	14.72210011	24.40363341	10.60218244	23.04523841	-0.15640021	15.57565363	15.26969599	16.86916154	1.29281276	15.18148716	8.75164E-05	0.002536902	13.25564509	13.25564509
Glucocorticoid_Receptor_Pathway	Glucocorticoid Receptor Main Pathway	1.545286787	0.592436175	2.373632134	0.944707527	6.730096078	-0.909825921	0.076267687	1.656777061	1.750323606	-1.581397228	-6.943646131	1.35641728	1.438768412	-3.738335707	-1.931416081	0.105503016	0.652431853	-4.4613712	4.837801938	0.592436175	6.813573414	3.572185777	5.614546254	3.946005276	9.204194512	5.570965591	9.976593601	-0.404535727	4.734372435	3.610795877	8.80612749	1.567279193	6.898646644	0.000210645	0.002536902	5.041807266	5.041807266
Glucocorticoid_Receptor_Pathway_Inflammatory_Cytokines	Glucocorticoid Receptor Pathway (Inflammatory cytokines)	0.489410288	1.148576281	2.373632134	1.426483872	4.745971009	-0.909825921	-0.416671613	1.163837761	0.812702285	-1.478431815	-4.250962786	1.416914166	1.860163428	-4.264082514	-1.931416081	0.105503016	0.652431853	-3.914076629	4.127329742	1.148576281	5.469181658	3.709404166	3.60684455	2.781209356	7.743716616	5.078026291	6.660013926	-0.404535727	3.51501938	2.872205067	5.950951112	0.590627026	5.188630548	0.000210645	0.002536902	3.923026737	3.923026737
HGF_Pathway_Cell_adhesion.ell_mirgation	HGF Pathway (Cell adhesion_ cell mirgation)	0	0.44570282	0.440909554	-1.62478869	1.145895246	0.029582961	0.440909554	1.933555931	1.131499717	1.123321589	-4.90100765	1.473351805	0	-0.648327071	-0.648327071	0.327895441	-0.692332486	-1.596279178	3.428581714	0.44570282	2.895711145	1.29737399	2.077728251	3.180622882	4.491394109	2.12731388	4.354612391	0.440909554	2.492333792	2.826268788	3.636412952	-0.004464075	1.761523499	0.000101628	0.002536902	2.453381576	2.453381576
ILK_Pathway_Apoptosis	ILK Pathway (Apoptosis)	-0.620318505	3.569919737	0.120912073	-2.036193797	-1.714344232	-0.570789761	0.71679689	-0.287987485	1.131499717	0.083507951	-8.048338277	9.223874649	2.147895583	-0.822042618	-0.893218106	1.420264555	-1.450937346	-2.336932713	9.849871642	3.569919737	7.303533182	3.906341826	4.936862089	7.73733436	14.25476706	2.655180173	10.15082304	-0.652525993	5.940454898	7.040828152	7.463091622	-0.499000608	3.423518921	0.000210645	0.002536902	5.825757322	5.825757322
ILK_Pathway_Cell_adhesion_cell_motility.opsonization	ILK Pathway (Cell adhesion_ cell motility_ opsonization)	-0.620318505	3.569919737	0.120912073	-2.036193797	-1.714344232	-0.570789761	0.71679689	-0.287987485	1.131499717	-0.350770507	-8.048338277	9.223874649	2.147895583	-0.822042618	-0.893218106	1.420264555	-1.450937346	-2.336932713	9.849871642	3.569919737	7.303533182	3.906341826	4.936862089	7.73733436	14.25476706	2.655180173	10.15082304	-0.652525993	5.940454898	7.040828152	7.463091622	-0.499000608	3.423518921	0.000210645	0.002536902	5.849883903	5.849883903
ILK_Pathway_Cell_cycle_proliferation	ILK Pathway (Cell cycle proliferation)	-0.620318505	3.569919737	0.120912073	-2.036193797	-1.714344232	-0.570789761	0.71679689	-0.287987485	1.131499717	-0.350770507	-8.048338277	9.223874649	2.147895583	-0.822042618	-0.893218106	1.420264555	-1.450937346	-2.336932713	9.849871642	3.569919737	7.303533182	3.906341826	4.936862089	7.73733436	14.25476706	2.655180173	10.15082304	-0.652525993	5.940454898	7.040828152	7.463091622	-0.499000608	3.423518921	0.000210645	0.002536902	5.849883903	5.849883903
ILK_Pathway_Cell_Migration.Retraction	ILK Pathway (Cell migration_ retraction)	-0.620318505	3.569919737	0.120912073	-2.036193797	-1.714344232	-0.570789761	0.71679689	-0.287987485	1.131499717	-0.350770507	-8.048338277	9.223874649	2.147895583	-0.822042618	-0.893218106	1.420264555	-1.450937346	-2.336932713	9.849871642	3.569919737	7.303533182	3.906341826	4.936862089	7.73733436	14.25476706	2.655180173	10.15082304	-0.652525993	5.940454898	7.040828152	7.463091622	-0.499000608	3.423518921	0.000210645	0.002536902	5.849883903	5.849883903
ILK_Pathway_Cell_Motility	ILK Pathway (Cell motility)	-0.620318505	3.569919737	-1.50764693	-2.036193797	-1.698422707	-0.570789761	0.71679689	0.610284266	1.131499717	0.189027676	-6.680742193	7.343286798	0.680749656	-0.386077771	-0.893218106	1.420264555	-2.095137115	-1.621301887	7.198944871	3.569919737	5.934282124	3.870377367	3.879621663	7.73733436	11.50230417	2.655180173	8.165030743	-0.652525993	4.557599184	6.456189888	6.025285097	-0.499000608	2.174604875	0.000210645	0.002536902	4.974344258	4.974344258
